token,environment,setting,agent,valid,score,divergence_flag,human_ref_DAC_fail,human_ref_DDC_fail,human_ref_LK_fail,human_ref_core_fail_any,agent_DAC_raw,agent_DDC_raw,agent_LK_raw,DAC_fail_to_pass,DDC_fail_to_pass,LK_fail_to_pass,error,drivable_area_compliance,driving_direction_compliance,lane_keeping,no_at_fault_collisions,time_to_collision_within_bound,ego_progress,history_comfort,multiplicative_metrics_prod,pdm_score,traffic_light_compliance,weighted_metrics,weighted_metrics_array
0e5653822a7a56b3,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,1.0,False,False,False,,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 0.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
0e5653822a7a56b3,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
13310ca9a7715154,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,1.0,1.0,False,False,False,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
13310ca9a7715154,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
1a928640315c5332,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False,False,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 0.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
1a928640315c5332,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
226e6642fbc65bdc,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.5,1.0,False,False,False,,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
226e6642fbc65bdc,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
2322850f71fa5c4d,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,1.0,1.0,False,False,False,,0.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 0.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
2322850f71fa5c4d,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
2352aa62dbbe58d2,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,1.0,False,False,False,,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 0.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
2352aa62dbbe58d2,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
342f42c4b2855ffb,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,1.0,False,False,False,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
342f42c4b2855ffb,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
36419e8c59275f61,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,1.0,False,False,False,,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 0.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
36419e8c59275f61,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
39a1ca97dca75beb,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,1.0,1.0,False,False,False,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
39a1ca97dca75beb,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
3d324bda0cec57ab,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False,False,,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 0.0, 0.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
3d324bda0cec57ab,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
42052560d5925f35,B2,filter_on,ignore_all,True,0.0,False,False,False,True,True,0.0,0.5,0.0,False,False,True,,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
42052560d5925f35,B2,filter_on,human_replay,True,1.0,False,False,False,True,True,1.0,1.0,0.0,False,False,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
470cfa23e42757c3,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.5,1.0,False,False,False,,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
470cfa23e42757c3,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
551cf39c34f75b25,B2,filter_on,ignore_all,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
551cf39c34f75b25,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
59bf40c427da5eb1,B2,filter_on,ignore_all,True,0.0,False,False,False,True,True,0.0,0.0,0.0,False,False,True,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
59bf40c427da5eb1,B2,filter_on,human_replay,True,1.0,False,False,False,True,True,1.0,1.0,0.0,False,False,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
5c4d8dfcb0aa5541,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,1.0,False,False,False,,0.0,0.0,1.0,1.0,1.0,0.7573988246014687,0.0,0.0,0.0,1.0,"[0.7573988246014687, 1.0, 1.0, 0.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
5c4d8dfcb0aa5541,B2,filter_on,human_replay,True,0.8462609089270912,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,0.9695305449958552,0.0,1.0,0.8462609089270912,1.0,"[0.9695305449958552, 1.0, 1.0, 0.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
5d2ee89308f958be,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False,False,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 0.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
5d2ee89308f958be,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
5d3573d6da7952d3,B2,filter_on,ignore_all,True,0.0,False,False,False,False,False,0.0,0.0,0.0,False,False,False,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 0.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
5d3573d6da7952d3,B2,filter_on,human_replay,True,1.0,False,False,False,False,False,1.0,1.0,1.0,False,False,False,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
5f53001e7e2d5347,B2,filter_on,ignore_all,True,0.0,False,True,False,False,True,0.0,0.0,1.0,True,False,False,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[5.0, 5.0, 2.0, 2.0, 2.0]"
