dimension,official,np2
normal_sha256,afdced9f8748ff113a564082cc1121d383a7ba5940e1558e075f99560a9a5a9e,afdced9f8748ff113a564082cc1121d383a7ba5940e1558e075f99560a9a5a9e
rhs_sha256,d53960a4e240c5a89d62ef380a39ee6902ef14b3c80dd0b3e51a313caea4021b,d53960a4e240c5a89d62ef380a39ee6902ef14b3c80dd0b3e51a313caea4021b
classification,INCONCLUSIVE,NOT_REPRODUCED
stock_failure_observed,True,False
physical_reference_solvers_ok,True,True
hermitian_solve_v0_delta,0.0016712398996059363,1.438849039914203e-13
condition_number,4526.615695031688,4526.615695031688
effective_rank_default_cutoff,40,40
symmetry_error_fro_over_fro,0.0,0.0
default_pinv_v0_mps,-491.34368772026016,12.53383546824594
default_pinv_max_abs_acceleration,408723.9020216601,1.0438944811996436
default_pinv_normal_relative_residual,3495.2469636564842,2.3768353162917137e-14
