environment,solver,solution_l2,normal_residual_l2,backward_error
official,np_pinv_default,1089163.1742917683,20763.8813080496,0.04211499280561325
official,np_pinv_hermitian,13.37235916901308,3.896250580296745e-14,3.248565276472575e-15
official,np_solve,14.860388087469245,0.0055353269528128,0.0004369765602425703
official,np_lstsq,13.372359169013103,6.425628611055021e-15,5.357477286225317e-16
official,scipy_pinv,13.372359169013276,9.649693307408533e-14,8.04559613428904e-15
official,scipy_pinvh,13.372359169013285,1.6721017820313444e-13,1.3941433375214775e-14
np2,np_pinv_default,13.372359169013324,1.4119839573405336e-13,1.1772656712452516e-14
np2,np_pinv_hermitian,13.37235916901308,3.896250580296745e-14,3.248565276472575e-15
np2,np_solve,13.372359169013032,1.0784749481872294e-15,8.991968550338379e-17
np2,np_lstsq,13.372359169013103,6.425628611055021e-15,5.357477286225317e-16
np2,scipy_pinv,13.372359169013276,9.649693307408533e-14,8.04559613428904e-15
np2,scipy_pinvh,13.372359169013285,1.6721017820313444e-13,1.3941433375214775e-14
