no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,multiplicative_metrics_prod,score,valid,log_name,frame_type,start_time,num_actor_inputs_seen,route_points_seen,route_roadblocks_seen,map_seen,ego_seen,agent_fallback,human_fallback,max_path_deviation,max_step_displacement,token
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621967033.500437,0.0,650.0,25.0,1.0,1.0,1.0,0.0,15984.96292978773,1764.2399279548997,014369205e025f0c
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968030.5005648,0.0,104.0,22.0,1.0,1.0,1.0,0.0,28768.267211347258,4468.890432445089,025b657634505df3
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967879.499851,0.0,504.0,39.0,1.0,1.0,1.0,0.0,17117.788497524478,2197.7287700240017,026e7b1e0e335625
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968515.999714,0.0,357.0,23.0,1.0,1.0,1.0,0.0,15706.614700133048,2880.804393856278,0456452c8a13546c
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968170.9998488,0.0,490.0,19.0,1.0,1.0,1.0,0.0,29809.235423220627,3934.645217043761,054743e97abd5b9c
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968468.000634,0.0,516.0,26.0,1.0,1.0,1.0,0.0,3752.7341616051854,886.0608023351278,05929f9dc5d152a7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968518.000444,0.0,322.0,23.0,1.0,1.0,1.0,0.0,4340.867334982942,788.1177152241177,064018bfafb05f56
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967953.500025,0.0,536.0,29.0,1.0,1.0,1.0,0.0,19479.178714997124,3952.4830402744333,067d731005885300
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968517.500365,0.0,335.0,23.0,1.0,1.0,1.0,0.0,5872.456481949378,1402.2197532484204,076e4afb95d057cf
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968449.500759,0.0,527.0,23.0,1.0,1.0,1.0,0.0,29273.844674380893,4129.863935308231,088b38f5e629514b
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968009.500926,0.0,513.0,24.0,1.0,1.0,1.0,0.0,25062.621071721227,5057.194887703316,08b29b05bc4650f8
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968020.001009,0.0,444.0,22.0,1.0,1.0,1.0,0.0,26982.08915501372,3621.0493288345465,08b6a130aaa35629
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621967031.0006058,0.0,713.0,23.0,1.0,1.0,1.0,0.0,5106.793751408796,1588.890863820139,08e8092f5e66571f
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967944.000583,0.0,493.0,30.0,1.0,1.0,1.0,0.0,8391.455798909852,1560.6068081925791,090af86f693c507b
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968514.000742,0.0,387.0,23.0,1.0,1.0,1.0,0.0,4280.481999918853,1179.7415238770254,0a51eebaccc95c36
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968018.000691,0.0,461.0,22.0,1.0,1.0,1.0,0.0,4197.57822998558,1104.9135883498282,0af464147919575d
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621967040.4999979,0.0,515.0,25.0,1.0,1.0,1.0,0.0,6428.000833653709,1916.173920761938,0b5b1309df2f5627
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966815.50089,0.0,520.0,20.0,1.0,1.0,1.0,0.0,4585.815521821815,2056.67030977154,0c318d7923d15b78
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8571428571428571,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968486.500676,0.0,499.0,27.0,1.0,1.0,1.0,0.0,35855.71094754829,4375.746404487495,0c77bbb199f3589f
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968013.001113,0.0,471.0,22.0,1.0,1.0,1.0,0.0,3266.7989287711644,1954.3836959623384,0d5496cc08dc50fe
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968526.000403,0.0,194.0,23.0,1.0,1.0,1.0,0.0,4383.235750828143,916.9142581375803,0ee1f95f55d95f7e
