token,valid,log_name,frame_type,start_time,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,score
090af86f693c507b,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967944.000583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
5d3e45ad38ef5b9c,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966834.000793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
ad702ac65d8754bb,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968183.0007448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
c42677f7e56f5c3f,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968460.000869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
9e10e31698a650a1,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968520.00088,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
6894aab92b0058dd,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966886.000115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
1df1903e5bcd5036,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967879.999861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
661cdcf44ebe5c68,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966834.501088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
8aaf40c869ca574f,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967876.000702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
076e4afb95d057cf,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968517.500365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
5f2c3f928abe5f5b,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621967033.0006769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
fe800ded24045b44,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967990.500265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
26cc0e92707756f2,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968555.5011818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
d44e6abed19b5ba5,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967850.00072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
08b29b05bc4650f8,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968009.500926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
30f09e001cf55013,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968519.500831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
5975a1af11e25fe4,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968509.500167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
f962927ff5dc518c,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967875.500499,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1b35b775c4a95647,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967877.501349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
974a70027f8f593c,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621967043.0006418,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
cdec001a2536542c,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968172.49965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
1893fb783df95146,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968026.500952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
6df712116b7353cc,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968446.000341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
91defa409f0254d5,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966887.000568,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5
59e4fc5b37f55556,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967909.500345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
8b3423345f3657b0,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967957.001469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
785a51e5263b5bec,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967875.000449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
067d731005885300,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967953.500025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
c5dfe79ae983556a,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967762.000583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
cd8518ca186155f9,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968519.000787,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25
82cd122751085a80,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967925.000339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
8d9d0d3caa9b5905,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968175.000588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
dcb8fbfc6c1d5fd6,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967920.0006418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
2aa9dce62cd75fce,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967992.500768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
ff1a305b2c1752af,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968514.9998538,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25
a3a47ea11a5e5939,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967924.5000799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
c8df3a922f9d5550,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967762.500216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
