token,valid,log_name,frame_type,start_time,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,score,agent_fallback,human_fallback,max_path_deviation,max_step_displacement
c42677f7e56f5c3f,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968460.000869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.0,6828.740887213164,1794.3614199416368
808e5edcddce51c3,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966791.000885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,17576.085623140156,3344.0740786836864
a371624958cb52ea,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621967044.5010839,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.26913504813436,20.507107243234536
5066b57b01cb56ec,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968487.000809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,39238.84731265403,4141.721885489714
bff29edb43425586,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968173.500092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1261.4878612469297,203.47434652994525
b9c8a72571a85792,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966837.000347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15226.059603454485,4239.141821803158
e41f13ed67485c54,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967742.500512,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,22685.764474139032,6142.391926853154
45102df6530d59e8,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967743.00073,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,24844.449300431577,2481.4360123625356
ae07b0ef14e25e47,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966754.000787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3613.27368176661,626.4741005640287
e917a198bd9757a4,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966863.0010948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,241.1255718295442,70.83564796452076
e5caf6d750415ee7,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967759.0008888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4684.316566907853,1920.423741733983
14d171fcb9295596,True,2021.05.25.14.16.10_veh-35_00083_00485,SceneFrameType.ORIGINAL,1621966866.49985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1572.7392225695132,434.76195322138307
88642e4f16be55bd,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967886.500386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4302.203806549129,1528.6759589410642
59e4fc5b37f55556,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967909.500345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,34527.4816221387,3846.498559149946
b6968f154bfb5a5d,True,2021.05.25.14.16.10_veh-35_01690_02183,SceneFrameType.ORIGINAL,1621968406.000845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.0,2479.355488307041,440.88117947651176
0d5496cc08dc50fe,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968013.001113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,714.2629908274715,172.15263432687894
b354451e4f8859f9,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621967760.5008478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3877.648114102901,586.5314661690767
8d83f07bed9d5f6a,True,2021.05.25.14.16.10_veh-35_01100_01664,SceneFrameType.ORIGINAL,1621968013.501096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,596.416522791434,111.51740762566953
